model,pretrained,held_out_corruption,policy,selected_prompt_id,n_severities,accuracy,ece,nll,brier,aurc,risk_at_80
ViT-B-32,openai,impulse_noise,oracle_upper_bound,p04,5,0.6491399999999999,0.07034019594937559,1.028533890797427,0.46040876704996914,0.16061558052134073,0.26905
ViT-B-32,openai,impulse_noise,probability_ensemble,ensemble,5,0.6461400000000002,0.10939370456576343,1.0677171879074012,0.47224914764838155,0.16561682860856985,0.2706
ViT-B-32,openai,jpeg_compression,default,p00,5,0.6502399999999999,0.03218263570070264,1.040720892595852,0.45618414016430175,0.13612900346004525,0.2536
ViT-B-32,openai,jpeg_compression,stability_loco,p03,5,0.6435,0.03558374419987196,1.027505726702682,0.4592774803025573,0.14181961581158767,0.26315
ViT-B-32,openai,jpeg_compression,clean_selected,p03,5,0.6435,0.03558374419987196,1.027505726702682,0.4592774803025573,0.14181961581158767,0.26315
ViT-B-32,openai,jpeg_compression,oracle_upper_bound,p04,5,0.6578999999999999,0.04920772059530014,1.0101727458992438,0.4514315425145427,0.1358899194882997,0.25272500000000003
ViT-B-32,openai,jpeg_compression,probability_ensemble,ensemble,5,0.6589,0.08731998021125786,1.030872093236812,0.456452873936726,0.13603950560637396,0.250125
ViT-B-32,openai,motion_blur,default,p00,5,0.7331999999999999,0.0241007882803678,0.781740483091937,0.35858781200880907,0.08854070634302107,0.172
ViT-B-32,openai,motion_blur,stability_loco,p03,5,0.74334,0.04078448779910796,0.7597450226790082,0.34844327650205187,0.08368763858464198,0.1621
ViT-B-32,openai,motion_blur,clean_selected,p03,5,0.74334,0.04078448779910796,0.7597450226790082,0.34844327650205187,0.08368763858464198,0.1621
ViT-B-32,openai,motion_blur,oracle_upper_bound,p03,5,0.74334,0.04078448779910796,0.7597450226790082,0.34844327650205187,0.08368763858464198,0.1621
ViT-B-32,openai,motion_blur,probability_ensemble,ensemble,5,0.7471400000000001,0.08781134807944294,0.785599923558004,0.35415562289410735,0.08405411869744274,0.1621
ViT-B-32,openai,pixelate,default,p00,5,0.66554,0.02879473153561348,0.9722856580550839,0.43221404125719654,0.1385720508817488,0.24165
ViT-B-32,openai,pixelate,stability_loco,p03,5,0.67814,0.02876927607983342,0.923455461681572,0.4185362715585657,0.13158857753002798,0.23067500000000002
ViT-B-32,openai,pixelate,clean_selected,p03,5,0.67814,0.02876927607983342,0.923455461681572,0.4185362715585657,0.13158857753002798,0.23067500000000002
ViT-B-32,openai,pixelate,oracle_upper_bound,p01,5,0.7053200000000001,0.06148067872494454,0.8734970219315749,0.3973459296426594,0.12006896940314533,0.20962500000000003
ViT-B-32,openai,pixelate,probability_ensemble,ensemble,5,0.6942,0.07993042457759378,0.9241033920767275,0.4108981776839573,0.12348619279853541,0.21665
ViT-B-32,openai,shot_noise,default,p00,5,0.5955999999999999,0.03864893102973696,1.140741416518834,0.5057917410042158,0.20101229176346705,0.3225
ViT-B-32,openai,shot_noise,stability_loco,p03,5,0.6204,0.041029247731268356,1.0885603710064002,0.4851445714754961,0.1817353651359621,0.29684999999999995
ViT-B-32,openai,shot_noise,clean_selected,p03,5,0.6204,0.041029247731268356,1.0885603710064002,0.4851445714754961,0.1817353651359621,0.29684999999999995
ViT-B-32,openai,shot_noise,oracle_upper_bound,p03,5,0.6204,0.041029247731268356,1.0885603710064002,0.4851445714754961,0.1817353651359621,0.29684999999999995
ViT-B-32,openai,shot_noise,probability_ensemble,ensemble,5,0.62198,0.07369464992314574,1.1073893830019934,0.4890774953697837,0.18464280297148503,0.29802500000000004
ViT-B-32,openai,snow,default,p00,5,0.76522,0.037741726264357504,0.6979205600528064,0.32004812696365315,0.06743475879377285,0.13605
ViT-B-32,openai,snow,stability_loco,p03,5,0.78054,0.05563235521733758,0.6634418990647276,0.3074385167822069,0.06311088324396733,0.127975
ViT-B-32,openai,snow,clean_selected,p03,5,0.78054,0.05563235521733758,0.6634418990647276,0.3074385167822069,0.06311088324396733,0.127975
ViT-B-32,openai,snow,oracle_upper_bound,p01,5,0.7886600000000001,0.0850105090330541,0.6710817091873521,0.3071304219614975,0.06198193357225266,0.12309999999999999
ViT-B-32,openai,snow,probability_ensemble,ensemble,5,0.7878999999999999,0.10964651222646231,0.6951101643342558,0.3127169914705374,0.061675520188887556,0.1233
ViT-B-32,openai,zoom_blur,default,p00,5,0.7653000000000001,0.03405333974778648,0.6963918544442953,0.32009398987867577,0.06882520494890934,0.13697499999999999
ViT-B-32,openai,zoom_blur,stability_loco,p03,5,0.7741,0.05266251403182742,0.6820196052697092,0.31501155101853284,0.06735091839368865,0.132275
ViT-B-32,openai,zoom_blur,clean_selected,p03,5,0.7741,0.05266251403182742,0.6820196052697092,0.31501155101853284,0.06735091839368865,0.132275
ViT-B-32,openai,zoom_blur,oracle_upper_bound,p03,5,0.7741,0.05266251403182742,0.6820196052697092,0.31501155101853284,0.06735091839368865,0.132275
ViT-B-32,openai,zoom_blur,probability_ensemble,ensemble,5,0.77798,0.1025226780185103,0.715107783893537,0.32129164997627246,0.06667418361383418,0.13255
