model,pretrained,corruption,severity,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,ece_mean,ece_std,ece_min,ece_max,nll_mean,nll_std,nll_min,nll_max,brier_mean,brier_std,brier_min,brier_max,aurc_mean,aurc_std,aurc_min,aurc_max,risk_at_80_mean,risk_at_80_std,risk_at_80_min,risk_at_80_max
RN50,openai,motion_blur,3,0.35919166666666663,0.04514025533285287,0.2956,0.4444,0.12630834720376874,0.06658367959396061,0.0327120127364992,0.2641538579389452,1.7341799998640937,0.1388016404947649,1.6026944699204002,1.9937959924539357,0.7635031301490702,0.05036448692434985,0.6990668467502574,0.8668983127042269,0.4642979830565373,0.051721105311661145,0.3687578239101167,0.5426554585325419,0.5962083333333333,0.050528466699175587,0.4985,0.66875
RN50,openai,motion_blur,4,0.3561666666666667,0.045614976275408274,0.2953,0.444,0.12854172843794023,0.06639580868648327,0.0330887186288833,0.2631591263726354,1.734374506934955,0.1376575805858714,1.6031059101207783,1.991626380148296,0.7641228573158697,0.04983400774571684,0.7000864752039461,0.8659484527940895,0.46648066853891934,0.05109866355222874,0.3713935253620268,0.542469117722617,0.59940625,0.050259302762817405,0.500875,0.66525
RN50,openai,motion_blur,5,0.29758333333333337,0.04340973567663311,0.2404,0.3763,0.1571969459580878,0.0801546028300202,0.0463494464933872,0.3039766770869493,1.933795066321322,0.17184201846497482,1.7531390691914024,2.2472611209846427,0.8253073784161477,0.05619118849395692,0.7516631962877127,0.936966864168798,0.5550721198921157,0.05443661554374826,0.4635692137959226,0.6430413368899,0.6681041666666667,0.04811385152254321,0.58075,0.731625
RN50,openai,pixelate,1,0.6464416666666667,0.023237331185100872,0.5973,0.6735,0.10094137472144014,0.03850053674174274,0.0496310636892914,0.1815484754331409,1.0378779935032307,0.047882053565658146,0.982366766325617,1.136951206760163,0.47496079387621576,0.020489864795088086,0.45160469295894,0.5113401750895766,0.1445554311305174,0.01601801337313581,0.1279396842181223,0.1725729348389054,0.2618958333333333,0.022297627353735663,0.23975,0.30675
RN50,openai,pixelate,2,0.562075,0.026915832616780502,0.509,0.5993,0.08379765324623632,0.032995842782402855,0.0264365017980337,0.1490567137040198,1.2559654414918,0.05806134353399967,1.1831617690318383,1.3640932789549205,0.5640667876117499,0.024216472515320994,0.5382237635849676,0.6113516114492639,0.21739158083619237,0.027049084758417625,0.1911272022090013,0.2749035954765899,0.35382291666666665,0.028768643082540516,0.32075,0.4125
RN50,openai,pixelate,3,0.5241166666666667,0.02784080828676866,0.4662,0.5587,0.07762354354864605,0.03165335951438864,0.0234192852079868,0.1326466050334274,1.3581427170387863,0.06433780093924328,1.278199538831737,1.4967121865793578,0.6026257790006728,0.02538300439776956,0.5757764457198814,0.6488497465284979,0.25444196337291414,0.030952698800916507,0.2255980197042809,0.3201579094899403,0.39617708333333335,0.032011071341755654,0.361375,0.46475
RN50,openai,pixelate,4,0.3788916666666666,0.030595854096246235,0.3055,0.4197,0.06753624382646128,0.04186805182262089,0.0282704363837838,0.1819344409644603,1.7312720778896737,0.0983982362723167,1.6224013542203894,2.01419785610003,0.7347240525945491,0.031043665887349296,0.7043553738402274,0.820190263796605,0.4149522295367076,0.030220756004920708,0.3818918170868846,0.4747805970263629,0.5660625,0.0337378976617744,0.527125,0.6495
RN50,openai,pixelate,5,0.27029166666666665,0.03125724522071449,0.2075,0.3227,0.0946279722516735,0.06413705045137237,0.0153223205462098,0.2577417677178979,2.0303673856737157,0.13577727583178545,1.9094998144699449,2.382437278565816,0.8292709875905143,0.03829826471240177,0.7971240578761987,0.9375351154932152,0.5634148576839859,0.02725132539102889,0.5315018638859419,0.6220032821392326,0.6943125,0.03419838928291,0.636625,0.76125
RN50,openai,shot_noise,1,0.5019,0.028840312695316533,0.4424,0.5392,0.061181457602356826,0.039813407822071156,0.0242411512047052,0.1470038274914026,1.373900889832049,0.06883104328717969,1.297116563860147,1.5645503984740323,0.610553449403811,0.026971861655382103,0.5834793707053892,0.6873060291978141,0.2629228563063621,0.025567314832551966,0.2282702517923421,0.3215403016822604,0.422375,0.033328342429393476,0.37975,0.496875
RN50,openai,shot_noise,2,0.40809999999999996,0.029867312628295912,0.3513,0.4539,0.06446542382606613,0.043506507027632965,0.0223711841106414,0.1764656219363213,1.6163645593888196,0.0924140190092308,1.5173519667539666,1.8597012366547143,0.6984875641066249,0.031235965694869347,0.664438112939732,0.7868781337737348,0.36539647498724454,0.030911812741087404,0.3202967022378456,0.4355699428339121,0.5296041666666667,0.03579061715750582,0.47725,0.60625
